default,pay_delay_1,pay_delay_2,log_limit,utilization,age,sex,education
1,2,2,9.9035,0.1956,24,2,2
1,-1,2,11.6952,0.0223,26,2,2
0,0,0,11.4076,0.3249,34,2,2
0,0,0,10.8198,0.9398,37,2,2
0,-1,0,10.8198,0.1723,57,1,2
0,0,0,10.8198,1.288,37,1,1
0,0,0,13.1224,0.7359,29,1,1
0,0,-1,11.5129,0.1188,23,2,2
0,0,0,11.8494,0.0806,28,2,3
0,-2,-2,9.9035,0.0,35,1,3
0,0,0,12.2061,0.0554,34,2,3
0,-1,-1,12.4684,0.0472,51,2,1
0,-1,0,13.3535,0.0193,41,2,2
1,1,2,11.1563,0.94,30,1,2
0,0,0,12.4292,0.2835,29,1,1
0,1,2,10.8198,1.0123,23,2,3
1,0,0,9.9035,0.7688,24,1,1
0,0,0,12.6761,0.7915,49,1,1
0,1,-2,12.7939,0.0,49,2,1
0,1,-2,12.1007,0.0,29,2,1
0,0,0,11.7753,0.2951,39,2,3
1,-1,-1,11.6952,0.0026,39,2,2
1,2,0,11.1563,0.587,26,2,2
1,-2,-2,13.017,0.0122,40,2,1
0,0,0,11.4076,0.0527,23,1,1
0,0,0,10.8198,0.9524,23,1,3
1,1,-2,11.0021,-0.0018,27,1,1
0,0,0,10.8198,0.4508,30,2,3
0,-1,-1,10.8198,0.013,47,2,3
0,0,0,10.8198,0.3066,26,1,1
0,-1,-1,12.3458,0.0724,27,2,1
1,2,0,10.8198,0.6104,33,1,2
0,0,0,11.5129,0.9304,32,1,1
0,-2,-2,13.1224,0.0219,54,2,2
0,-2,-2,13.1224,0.0274,58,1,1
0,-1,-1,11.9829,0.1892,30,1,1
0,0,0,12.5425,0.6661,40,1,2
0,0,0,11.0021,0.2509,22,2,2
1,1,-1,10.8198,0.0,25,1,1
0,-1,-1,12.5425,0.0018,31,1,1
0,0,0,12.7939,0.6074,33,1,1
0,0,0,11.1563,0.9646,25,2,1
0,0,0,9.2103,0.1877,22,1,2
0,0,0,11.8494,0.425,37,2,2
0,0,0,10.5966,0.4732,30,2,1
1,-2,-2,12.2549,0.0,29,1,1
1,0,0,9.9035,0.7014,22,2,1
1,0,0,11.9184,0.0298,46,2,5
0,-1,-1,12.8479,0.059,32,1,2
0,0,0,9.9035,0.8724,24,1,1
1,1,2,11.1563,0.5292,42,1,3
0,0,0,11.5129,0.6156,43,2,3
0,-2,-2,12.6443,0.0434,49,2,2
0,1,2,12.1007,0.23,25,2,1
0,2,0,11.9184,0.3082,29,2,1
0,-2,-2,13.1224,0.0038,45,2,1
0,0,0,12.1007,0.091,34,2,3
0,0,0,12.1007,0.9771,34,2,2
0,-1,3,12.2061,0.0079,34,2,1
0,0,0,12.8992,1.0003,29,2,2
1,0,0,13.1224,0.0457,28,2,3
0,0,0,11.1563,1.0114,39,1,2
1,2,2,10.8198,0.4997,29,1,1
1,0,0,10.8198,0.5744,46,2,2
0,-1,-1,11.7753,0.0008,51,2,2
1,-2,-2,12.2061,0.7626,57,1,1
1,2,2,9.2103,0.2097,56,1,2
0,2,-1,12.2549,0.0014,30,2,1
0,1,-2,11.7753,-0.0015,29,2,3
0,2,0,9.9035,0.9282,22,1,5
0,-1,-1,11.2898,0.0098,31,1,1
1,2,2,12.6761,0.1821,29,1,2
0,-1,-1,12.2061,0.0454,32,2,2
0,1,-2,12.5776,0.0,37,2,1
0,-1,-1,12.7367,0.009,32,1,1
0,0,0,9.9035,0.731,24,1,2
0,-1,0,10.8198,0.8568,25,1,3
0,-1,-1,12.6115,0.001,45,2,1
1,0,0,10.309,0.9462,22,2,2
1,1,-2,12.3884,0.0,44,2,2
0,0,0,13.0605,0.3516,33,2,3
0,0,0,12.7939,0.065,26,2,1
1,0,0,11.0021,0.4387,30,1,3
0,0,0,12.8992,0.329,44,2,2
0,0,0,10.8198,0.9782,49,2,3
0,0,0,11.9829,0.8127,33,1,2
1,-1,-1,12.7939,0.0011,45,2,1
0,0,0,11.9829,0.0239,32,2,2
0,0,0,11.7753,0.6255,35,2,1
0,2,2,9.9035,0.4292,44,1,3
1,2,2,12.2061,0.6909,53,1,1
0,-1,-1,12.5425,0.0269,39,2,1
0,-2,-2,11.5129,-0.02,27,2,1
0,-1,-1,11.9829,0.0055,37,2,2
0,0,0,11.0021,0.7608,23,2,2
0,0,0,11.4076,0.9303,35,1,2
0,-1,-1,12.7939,0.011,43,1,1
0,0,0,11.9184,0.5734,27,1,1
0,0,0,10.8198,0.3744,22,2,3
1,0,0,9.9035,0.8986,38,1,2
0,-2,-2,11.8494,0.0048,32,1,1
0,-2,-2,12.8479,-0.0002,30,2,1
0,0,0,13.0815,0.8793,63,1,1
1,0,0,10.8198,0.894,22,2,3
0,2,2,11.0021,0.9448,26,2,2
0,-1,-1,11.1563,0.0797,24,2,2
0,-1,-1,11.2898,0.0764,36,2,2
0,-1,-1,12.7657,0.002,52,1,1
0,0,0,11.7753,1.3188,38,1,2
0,1,-2,12.7939,-0.0003,35,1,2
0,0,0,12.7068,0.3208,31,2,1
0,0,0,10.8198,0.2649,47,1,3
0,2,2,12.5425,0.4845,41,1,2
0,0,0,11.5129,0.5213,24,2,1
0,0,0,10.8198,0.3803,41,1,2
1,-1,2,10.309,0.6066,24,1,1
0,-1,-1,12.3884,0.0014,28,1,1
1,2,0,11.2898,0.1754,26,1,2
0,-1,-1,12.8992,0.0492,34,1,2
0,0,0,12.3884,0.2094,38,2,2
1,2,2,10.8198,0.9201,37,1,3
1,1,-2,13.017,0.0,40,1,1
0,1,-2,11.6082,0.0,48,2,1
1,2,0,12.6443,0.9838,35,2,2
0,0,0,9.9035,0.9558,27,1,1
0,1,-2,9.9035,0.0,23,1,2
0,0,0,12.2061,0.5508,52,1,3
1,0,0,12.1007,0.9096,36,1,1
1,0,0,10.8198,0.0669,51,1,2
0,3,2,11.0021,1.0087,55,1,3
0,1,-2,10.309,0.1333,23,2,1
0,1,-1,12.3884,0.0004,41,1,1
0,0,0,12.948,0.6035,34,1,2
0,0,0,12.7068,0.6891,46,1,3
0,0,0,10.309,0.9484,22,2,2
0,0,0,12.3884,0.0445,34,1,2
0,0,0,11.9184,0.1163,27,1,1
0,0,0,12.2549,0.0341,33,2,2
1,-1,-1,10.8198,0.015,51,2,3
0,0,0,10.8198,1.016,24,1,1
1,1,-2,12.3884,0.0,47,1,1
0,-1,-1,12.1007,0.0102,28,1,2
0,1,2,10.8198,0.2026,23,1,2
0,-2,-2,12.0436,0.0715,29,1,2
0,-1,-1,9.9035,0.06,29,1,1
